graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,runtime_sec,params
cyclotomic_union_p13_e4_mask5,cyclotomic_union,13,4,13,6.0,0.0,6.0,6.0,0.0,0.5,0.5,3,3,3,3,3,3,3.605551275463989,4.697224362268007,True,26,0,1.8988289221159418,True,dlog_table + class_membership_mask,not_done,F_13,numpy-openblas,data/adj/cyclotomic_union_p13_e4_mask5.npy,1,0,1,1,0,0,0,0,1,1,0.0004,"{""p"": 13, ""e"": 4, ""mask"": 5, ""primitive_root"": 2, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p17_e4_mask5,cyclotomic_union,17,4,17,8.0,0.0,8.0,8.0,0.0,0.5,0.5,3,3,3,3,3,3,4.123105625617663,6.438447187191167,True,68,0,2.0305431848689306,True,dlog_table + class_membership_mask,not_done,F_17,numpy-openblas,data/adj/cyclotomic_union_p17_e4_mask5.npy,1,1,0,1,0,0,0,1,1,0,0.0005,"{""p"": 17, ""e"": 4, ""mask"": 5, ""primitive_root"": 3, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p29_e4_mask5,cyclotomic_union,29,6,29,14.0,0.0,14.0,14.0,0.0,0.5,0.5,,,4,5,4,5,5.385164807134511,11.807417596432739,True,406,203,1.7528025632357591,False,dlog_table + class_membership_mask,not_done,F_29,numpy-openblas,data/adj/cyclotomic_union_p29_e4_mask5.npy,1,0,0,1,1,1,1,0,1,0,0.0006,"{""p"": 29, ""e"": 4, ""mask"": 5, ""primitive_root"": 2, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p37_e4_mask5,cyclotomic_union,37,7,37,18.0,0.0,18.0,18.0,0.0,0.5,0.5,,,4,6,4,6,6.082762530298226,15.45861873485088,True,888,555,1.6750540209862346,False,dlog_table + class_membership_mask,not_done,F_37,numpy-openblas,data/adj/cyclotomic_union_p37_e4_mask5.npy,1,0,1,1,0,0,1,0,1,1,0.0009,"{""p"": 37, ""e"": 4, ""mask"": 5, ""primitive_root"": 2, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p41_e4_mask5,cyclotomic_union,41,7,41,20.0,0.0,20.0,20.0,0.0,0.5,0.5,,,5,6,5,6,6.403124237432854,17.298437881283572,True,1230,1025,1.6997994869342874,False,dlog_table + class_membership_mask,not_done,F_41,numpy-openblas,data/adj/cyclotomic_union_p41_e4_mask5.npy,1,1,0,1,1,0,0,1,1,1,0.001,"{""p"": 41, ""e"": 4, ""mask"": 5, ""primitive_root"": 6, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p53_e4_mask5,cyclotomic_union,53,8,53,26.0,0.0,26.0,26.0,0.0,0.5,0.5,,,5,7,5,7,7.280109889280531,22.859945055359724,True,2756,-1,1.6426100804536923,False,dlog_table + class_membership_mask,not_done,F_53,numpy-openblas,data/adj/cyclotomic_union_p53_e4_mask5.npy,1,0,0,1,0,1,1,0,1,1,0.0003,"{""p"": 53, ""e"": 4, ""mask"": 5, ""primitive_root"": 2, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p61_e4_mask5,cyclotomic_union,61,8,61,30.0,0.0,30.0,30.0,0.0,0.5,0.5,,,5,7,5,7,7.810249675906662,26.594875162046662,True,4270,-1,1.6717303588411743,False,dlog_table + class_membership_mask,not_done,F_61,numpy-openblas,data/adj/cyclotomic_union_p61_e4_mask5.npy,1,0,1,1,1,0,0,0,1,0,0.0004,"{""p"": 61, ""e"": 4, ""mask"": 5, ""primitive_root"": 2, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
cyclotomic_union_p73_e4_mask5,cyclotomic_union,73,9,73,36.0,0.0,36.0,36.0,0.0,0.5,0.5,,,5,8,5,8,8.544003745317545,32.22799812734121,True,7446,-1,1.610778682311281,False,dlog_table + class_membership_mask,not_done,F_73,numpy-openblas,data/adj/cyclotomic_union_p73_e4_mask5.npy,1,1,1,1,0,1,0,1,1,0,0.0005,"{""p"": 73, ""e"": 4, ""mask"": 5, ""primitive_root"": 5, ""selected"": [[0, true], [1, false], [2, true], [3, false]]}"
quadratic_form_f2_n_bits4_formsymplectic,quadratic_form_f2,16,5,4,6.0,0.0,6.0,6.0,0.0,0.4,0.4,4,4,4,4,4,4,4.000000000000001,3.9999999999999996,True,32,8,1.7411011265922482,True,xor_outer + bitwise_quadratic,not_done,F_2^4,numpy-openblas,data/adj/quadratic_form_f2_n_bits4_formsymplectic.npy,0,0,1,0,0,0,1,0,0,0,0.0004,"{""n_bits"": 4, ""form"": ""symplectic"", ""N"": 16}"
quadratic_form_f2_n_bits4_formadjacent_bits,quadratic_form_f2,16,5,4,6.0,0.0,6.0,6.0,0.0,0.4,0.4,4,4,4,4,4,4,4.000000000000003,3.9999999999999964,True,32,8,1.7411011265922482,True,xor_outer + bitwise_quadratic,not_done,F_2^4,numpy-openblas,data/adj/quadratic_form_f2_n_bits4_formadjacent_bits.npy,0,0,1,0,0,1,0,0,0,0,0.0005,"{""n_bits"": 4, ""form"": ""adjacent_bits"", ""N"": 16}"
